,state_code,county,year,TSO4,TNH4,CA,MG,NA,K,CL,NSO4,NHNO3,WSO2,WNO3,total_SO2,total_NO3,latitude,longitude
0,AK,Denali,2000,14.9214,3.6028,0.9751,0.4389,2.0825,0.6741,,4.2554,3.3959,14.9538,5.2045,17.7921,6.9441,63.7232,-148.9676
1,AK,Denali,2001,15.9248,3.018,1.4357,0.4953,2.1838,0.6148,,2.3854,3.0257,21.5065,4.333,23.0971,5.9959,63.7232,-148.9676
2,AK,Denali,2002,17.0358,3.3029,1.3295,0.4371,1.6315,0.845,,6.0773,4.2879,15.3862,0.5824,19.4403,7.5222,63.7232,-148.9676
3,AK,Denali,2003,17.2646,2.811,1.1594,0.4757,1.8262,0.6028,1.2971,6.6733,3.6702,18.5842,,23.0356,6.4232,63.7232,-148.9676
4,AK,Denali,2004,18.0587,6.3686,1.3679,0.5493,1.95,1.4708,2.2629,8.6988,5.8148,17.0779,,22.8805,12.0908,63.7232,-148.9676
5,AK,Denali,2005,17.8352,4.2463,1.1483,0.4743,1.6698,1.0753,1.5563,7.8043,5.2008,20.146,,25.3514,9.3646,63.7232,-148.9676
6,AK,Denali,2006,24.762,3.0333,1.2073,0.5946,2.2164,0.7479,2.2975,6.3413,3.8093,28.6977,,32.9271,6.782,63.7232,-148.9676
7,AK,Denali,2007,19.6053,3.2971,1.1053,0.4966,1.7141,0.6979,1.4719,9.842,4.1652,19.0075,,25.5718,7.3958,63.7232,-148.9676
8,AK,Denali,2008,23.2924,3.7457,1.2032,0.655,2.7568,0.8267,2.1611,8.631,3.7541,20.4578,,26.2146,7.4399,63.7232,-148.9676
9,AK,Denali,2009,30.3197,3.3598,1.5695,0.6559,2.7477,1.2441,2.6121,7.3961,4.6988,17.87,,22.8031,7.9842,63.7232,-148.9676
10,AK,Denali,2010,15.7134,3.3096,1.4316,0.5948,2.0693,1.1879,1.8743,7.0978,3.1341,20.6624,,25.3967,6.3938,63.7232,-148.9676
11,AK,Denali,2011,19.5759,2.987,1.175,0.5409,2.3748,0.6843,2.3902,5.7039,3.1034,15.4849,,19.2894,6.0416,63.7232,-148.9676
12,AK,Denali,2012,16.8063,3.4245,1.3637,0.6251,2.2635,0.6674,2.1515,8.1062,3.2913,16.8857,,22.2925,6.6635,63.7232,-148.9676
13,AK,Denali,2013,22.4884,2.8115,1.2702,0.5208,2.0151,0.7026,1.7145,7.9765,3.8825,14.0047,,19.3252,6.632,63.7232,-148.9676
14,AK,Denali,2014,17.0134,2.4271,1.3386,0.4513,1.4132,0.684,1.2631,6.3479,3.2374,14.2365,,18.4702,5.6131,63.7232,-148.9676
15,AK,Denali,2015,14.293,2.6089,1.5502,0.4655,1.5556,0.7496,1.5202,5.9547,3.9459,16.4307,,20.4029,6.4922,63.7232,-148.9676
16,AK,Denali,2016,9.9857,2.2569,1.3082,0.4056,1.3776,0.6231,1.7312,4.7197,2.6247,12.8841,,16.0326,4.84,63.7232,-148.9676
17,AK,Denali,2017,13.8626,2.566,1.0957,0.4595,2.2482,0.7091,2.4548,3.5423,2.793,12.2172,,14.5797,5.3146,63.7232,-148.9676
18,AK,Denali,2018,9.7542,2.2939,0.9924,0.4505,1.8328,0.6663,2.1554,2.6095,2.1173,6.0221,,7.7628,4.3776,63.7232,-148.9676
19,AK,Fairbanks North Star,2000,15.7188,3.6917,0.3763,0.2402,1.0824,1.7336,,2.9698,4.7936,13.3426,4.2338,15.3235,8.4099,65.1178,-147.4333
20,AK,Fairbanks North Star,2001,18.9198,3.5729,0.9266,0.1962,1.0474,0.2347,,2.5074,5.4904,13.7325,3.9199,15.4044,8.9755,65.1178,-147.4333
21,AK,Fairbanks North Star,2002,19.8016,4.6166,1.891,0.5418,1.8663,1.0376,,7.172,9.6405,15.712,0.7656,20.4959,14.1038,65.1178,-147.4333
22,AK,Fairbanks North Star,2003,17.3063,2.7113,1.4153,0.4855,1.4193,0.7003,0.6678,5.8252,6.8475,12.235,,16.1201,9.4493,65.1178,-147.4333
23,AK,Fairbanks North Star,2004,,,,,,,,,,,,,,65.1178,-147.4333
24,AL,DeKalb,2000,288.8365,84.2316,11.8319,2.3286,9.1138,5.6385,,34.1801,111.1713,263.8375,53.4341,286.6358,193.6347,34.289001,-85.970065
25,AL,DeKalb,2001,251.8378,90.2693,12.283,2.5691,10.5077,5.1752,,21.3234,94.8075,243.972,48.8679,258.1946,183.5694,34.289001,-85.970065
